"Variables";"Hidden_layers";"Dropout";"Activation";"Loss";"Accuracy_in";"Accuracy_out";"Acc";"Prec";"Recall";"Fscore";"erro_I";"erro_II"
"todas";3;0;"sigmoid";0,652424882978438;0,640432715415955;0,62419456243515;0,624194534593857;0,595534290271132;0,719044868091662;0,651487394224898;0,0424792408334594;0,0273078835903257
"todas";3;0,3;"sigmoid";0,636125842741418;0,657207787036896;0,643666803836823;0,643666807770095;0,624733664772727;0,677546697477373;0,650069284064665;0,0276407844305177;0,0458931915731424
"todas_tab1";3;0;"sigmoid";0,701716229426805;0,504037022590637;0,509242296218872;0,509242274587272;0,497795738427627;0,521856345079915;0,509542164144026;0,0455631803800718;0,0370924280340133
"todas_tab1";3;0,3;"sigmoid";0,694384466507861;0,494865566492081;0,50571471452713;0,505714688866939;0,493967631191761;0,484883497015213;0,489383411884748;-0,00234016179942288;0,0678159445877861
"lasso";3;0;"sigmoid";0,644818678853608;0,642549216747284;0,630309045314789;0,630309016509101;0,612286628733997;0,663104178702099;0,636682998983082;0,0355498840482439;0,0287052720320613
"lasso";3;0,3;"sigmoid";0,634798675221842;0,660029768943787;0,641738414764404;0,64173839424298;0,626219345428024;0,661371076449066;0,643315382814329;0,017789825273406;0,0622400484594802
"lasso_tab1";3;0;"sigmoid";0,702463613556288;0,506310284137726;0,512393593788147;0,512393584497437;0,501325149951179;0,346042749855575;0,409455995442894;0,0385575296263363;0,0462869732251015
"lasso_tab1";3;0,3;"sigmoid";0,694451661637762;0,498079478740692;0,510841429233551;0,51084144678049;0,498978996499417;0,329385711534758;0,396821714418281;-0,0730046855604745;0,0575880701282266
"stepwise";3;0;"sigmoid";0,629741295634576;0,659245908260345;0,647852897644043;0,647852876158224;0,634126029425372;0,659830541113037;0,646722974567074;0,0250055628787553;0,0521439086605191
"stepwise";3;0,3;"sigmoid";0,633508257813537;0,653680324554443;0,642632067203522;0,642632049292131;0,633066055746468;0,638551896784132;0,635797143131052;0,00318722871270042;0,0719703000412006
"stepwise_tab1";3;0;"sigmoid";0,693855586759986;0,494787186384201;0,516391515731812;0,516391514980481;0,513492475350285;0,19054496437512;0,277949438202247;-0,0166782796173754;0,0461181213345359
