"Variables";"Hidden_layers";"Dropout";"Activation";"Loss";"Accuracy_in";"Accuracy_out";"Acc";"Prec";"Recall";"Fscore";"erro_I";"erro_II"
"todas";3;0;"sigmoid";0,669373373765189;0,625014305114746;0,616544425487518;0,616544445205949;0,580432020330368;0,665792158577467;0,620188717670219;-0,0382406302576721;-0,0171857553629609
"todas";3;0,3;"sigmoid";0,641732532975525;0,642604231834412;0,632855892181396;0,632855870056884;0,626301645952301;0,543506777437691;0,581974248927039;-0,0443693365591325;-0,00779159900832068
"todas_tab1";3;0;"sigmoid";0,711423553422744;0,521187901496887;0,515523254871368;0,515523267767802;0,48547891650377;0,506777437691299;0,495899593524923;-0,0358025779414297;0,00550732198314085
"todas_tab1";3;0,3;"sigmoid";0,693585214862584;0,53409481048584;0,526283323764801;0,526283325337537;0,491860836259176;0,224602827576155;0,308385031018611;-0,0441728041601009;-0,103096069468379
"lasso";3;0;"sigmoid";0,689548202631578;0,638720750808716;0,634706318378448;0,634706325817285;0,628893753157097;0,544381285526891;0,58359375;-0,0416926119621806;0,00395189788431329
"lasso";3;0,3;"sigmoid";0,639566853167579;0,639291822910309;0,637996017932892;0,637996024946885;0,654410326618424;0,487684011077102;0,558877568064139;-0,0648262863741296;0,00471986477244708
"lasso_tab1";3;0;"sigmoid";0,721269120265455;0,520731031894684;0,520800471305847;0,520800493454869;0,487639177203246;0,376621483748725;0,425;-0,0471230291678016;0,00199709333266054
"lasso_tab1";3;0,3;"sigmoid";0,694141366893388;0,530325531959534;0,525666534900665;0,525666506750737;0,48793242156074;0,176796385366565;0,259548518241147;-0,00711554973125904;-0,0286179083470449
"stepwise";3;0;"sigmoid";0,633448258462072;0,6499143242836;0,65136045217514;0,651360427660887;0,633183183183183;0,614633435359277;0,623770431181126;-0,040045742584315;-0,00286334953952352
"stepwise";3;0,3;"sigmoid";0,633901688589094;0,639177620410919;0,641217172145844;0,641217188677952;0,65415244596132;0,502842151289899;0,568603213844252;-0,0646813874132661;-0,00448470925045159
"stepwise_tab1";3;0;"sigmoid";0,691552643778881;0,545745313167572;0,534233450889587;0,534233431567405;0,515095215977706;0,161638245153768;0,246061681828267;-0,032992661579072;0,0056559970230208
"stepwise_tab1";3;0,3;"sigmoid";0,688828879198964;0,551113665103912;0,535261452198029;0,535261462545405;0,515243902439024;0,197055822766361;0,285081707959937;-0,145449246701231;0,0158226340623101
"torneio";3;0;"sigmoid";0,632005457049751;0,655054271221161;0,649235844612122;0,649235830306353;0,63964108315975;0,581839382014284;0,609372614867959;-0,0303992232001628;-0,0166551575812524
"torneio";3;0,3;"sigmoid";0,634577426998392;0,651627659797668;0,644918084144592;0,644918100198753;0,637569603668523;0,567409998542487;0,600447289272769;-0,0625984278913453;0,00146670390328783
"torneio_tab1";3;0;"sigmoid";0,690636617734903;0,556596219539642;0,534164905548096;0,534164896168871;0,511678832116788;0,204343390176359;0,292052911155088;-0,0943293901610091;0,000348421670429298
"torneio_tab1";3;0,3;"sigmoid";0,690189885950981;0,553854942321777;0,534370481967926;0,534370502364471;0,510038957147138;0,24806879463635;0,333790939399882;-0,124785715652899;0,0845693692653704
"todas";3;0;"sigmoid";0,670101594333823;0,618617951869965;0,629154980182648;0,629154958536084;0,611538461538462;0,579361609094884;0,595015343162937;-0,0371445787464863;-0,00992663202519972
"todas";3;0,3;"sigmoid";0,640655199642432;0,639634490013123;0,638818442821503;0,638818449729285;0,633764923490836;0,54933683136569;0,588538413491568;-0,056505023827175;-0,00730290812922467
"todas_tab1";3;0;"sigmoid";0,724742939952434;0,523243844509125;0,525392353534698;0,525392365156603;0,488587731811698;0,19967934703396;0,283497154681842;-0,0221694457547097;-0,0403158162447803
"todas_tab1";3;0,3;"sigmoid";0,692630987882728;0,544374644756317;0,528065264225006;0,528065245699404;0,496676415846849;0,272263518437546;0,351722839389945;-0,0644813392808537;-0,132496346739653
"lasso";3;0;"sigmoid";0,679265321918727;0,617818415164948;0,615242302417755;0,615242272633815;0,590955506929249;0,590438711558082;0,590696996208807;-0,02750502699032;-0,0103545827924816
"lasso";3;0,3;"sigmoid";0,639739452134051;0,638263821601868;0,640052080154419;0,640052086902885;0,660803517889266;0,481853957149104;0,557316250842886;-0,0525985129966631;0,000328722095524568
"lasso_tab1";3;0;"sigmoid";0,725845674014665;0,528383791446686;0,523541927337646;0,523541909396203;0,480744815911976;0,165573531555167;0,246313963573287;-0,120196749530192;0,0189854085152327
"lasso_tab1";3;0,3;"sigmoid";0,693042720510425;0,535922348499298;0,526900172233582;0,526900143924337;0,492803289924606;0,209590438711558;0,294099601186215;-0,0730426989477201;-0,0216121052610989
"stepwise";3;0;"sigmoid";0,634970343880522;0,639406025409698;0,641628384590149;0,641628401069152;0,60833775889538;0,667832677452266;0,636698395053151;-0,0340104462919758;-0,01679072647285
"stepwise";3;0,3;"sigmoid";0,636146514147436;0,637806951999664;0,639161109924316;0,639161126721952;0,66043425814234;0,478793178836904;0,555133079847909;-0,0651454655855625;-0,00374898448039099
"stepwise_tab1";3;0;"sigmoid";0,689812209013678;0,550656795501709;0,531012296676636;0,531012267836337;0,502277327935223;0,289316426176942;0,367150651992971;-0,311341521596528;-0,0178155983839626
"stepwise_tab1";3;0,3;"sigmoid";0,689557531234391;0,546430587768555;0,534164905548096;0,534164896168871;0,508978675645342;0,264392945634747;0,348009592326139;-0,146653038653639;0,0325378716765324
"torneio";3;0;"sigmoid";0,631174206635663;0,652769863605499;0,650126814842224;0,650126790487287;0,641430412371134;0,580381868532284;0,609380977886602;-0,0273677712870329;-0,0208489937878113
"torneio";3;0,3;"sigmoid";0,637281088025597;0,649114787578583;0,643684446811676;0,643684463025152;0,642294520547945;0,546713307098091;0,590662152586411;-0,108136337491921;-0,000283572322698222
"torneio_tab1";3;0;"sigmoid";0,690911063863795;0,543917775154114;0,53060108423233;0,530601055445137;0,503161222339304;0,139192537530972;0,218061422536819;-0,296012962190503;0,00571891770720088
