"Variables";"Hidden_layers";"Dropout";"Activation";"Loss";"Accuracy_in";"Accuracy_out";"Acc";"Prec";"Recall";"Fscore";"erro_I";"erro_II"
"todas";3;0;"sigmoid";0,669527623145231;0,63350784778595;0,617448031902313;0,617448042532624;0,634765134388345;0,596131163010144;0,614841849148419;0,00497344567637909;0,0707768252992239
"todas";3;0,3;"sigmoid";0,640022054970005;0,652839303016663;0,642460107803345;0,642460125664572;0,657635467980296;0,629865534324133;0,643451018194963;-0,0703482289396712;0,135974052282637
"todas_tab1";3;0;"sigmoid";0,707929775817432;0,517116367816925;0,501087486743927;0,501087481875302;0,517845554834523;0,376503892427459;0,436006010107909;-0,316612122830241;0,0927480801013637
"todas_tab1";3;0,3;"sigmoid";0,693842873992754;0,527386248111725;0,519212186336517;0,519212179797003;0,521834061135371;0,732955885822128;0,609634062591975;-0,244013375892225;0,167457324470116
"lasso";3;0;"sigmoid";0,677304455310956;0,623640775680542;0,614548087120056;0,614548090865152;0,651808972503618;0,531257372021703;0,585391213932935;0,00456915900152454;0,0593820476237421
"lasso";3;0,3;"sigmoid";0,642763962804436;0,648207783699036;0,638231039047241;0,638231029482842;0,671345995045417;0,575371549893843;0,619664634146342;-0,0166693903882081;0,080825220235688
"lasso_tab1";3;0;"sigmoid";0,698656261399381;0,509464383125305;0,507491528987885;0,507491541807637;0,515056345834103;0,657702288275537;0,577704102776627;0,0205075711980474;0,0403453749934932
"lasso_tab1";3;0,3;"sigmoid";0,695042445441846;0,530205368995667;0,509908139705658;0,509908168197197;0,515267812447856;0,728473696626563;0,603596559812353;-0,248972713841472;0,298257489247077
"stepwise";3;0;"sigmoid";0,629490072857417;0,656262576580048;0,656476557254791;0,656476558724021;0,678061224489796;0,627034677990092;0,651550435102341;0,00151646647677374;0,0865907074415428
"stepwise";3;0,3;"sigmoid";0,636816021524921;0,646596848964691;0,640647649765015;0,640647655872402;0,669072440523924;0,590469450342062;0,627318295739348;-0,151185457017633;0,152449298077122
"stepwise_tab1";3;0;"sigmoid";0,693349627292692;0,486910998821259;0,487796038389206;0,487796036732721;NA;NA;NA;NA;0,0298742085551826
"stepwise_tab1";3;0,3;"sigmoid";0,693088215091137;0,486306875944138;0,487796038389206;0,487796036732721;NA;NA;NA;NA;0,0298742085551826
"torneio";3;0;"sigmoid";0,63180605422592;0,654651641845703;0,650797486305237;0,650797486708555;0,648014044327408;0,696626562868601;0,671441564347431;0,00515241006436139;0,0833878775113851
"torneio";3;0,3;"sigmoid";0,639496523438588;0,642972230911255;0,637626886367798;0,637626872885452;0,677345537757437;0,5586223165841;0,612281835811248;-0,083525155256464;0,112532191101394
"torneio_tab1";3;0;"sigmoid";0,693773301140936;0,514901340007782;0,514137268066406;0,514137264378927;0,522689425478768;0,592356687898089;0,555346676987725;-0,13738962735873;0,136755785342345
"torneio_tab1";3;0,3;"sigmoid";0,693956232059399;0,495569884777069;0,49987918138504;0,499879168680522;0,536127167630058;0,175041283321538;0,263916059043215;-0,674249108984456;0,129226674177025
"todas";3;0;"sigmoid";0,672079598229539;0,631896913051605;0,618777215480804;0,618777187046883;0,619752540874945;0,661712668082095;0,640045636052481;-0,050407464705744;0,142633136682948
"todas";3;0,3;"sigmoid";0,642476138744797;0,637535214424133;0,629531145095825;0,629531174480425;0,70385818561001;0,477707006369427;0,569139966273187;-0,131967219846047;0,0889268202490296
"todas_tab1";3;0;"sigmoid";0,714797649941276;0,516713678836823;0,511116504669189;0,511116481391977;0,51449601922788;0,807973578674216;0,62867107195301;-0,0386526773147141;0,105999991854422
"todas_tab1";3;0,3;"sigmoid";0,694258761757408;0,531010866165161;0,516916394233704;0,516916384726921;0,521025998953062;0,704411417787214;0,598996990972919;-0,290180793564021;0,216198096581953
"lasso";3;0;"sigmoid";0,666582592735549;0,633105099201202;0,622522950172424;0,622522957950701;0,619712261112304;0,680820948336872;0,648830935251799;0,00549081650931035;0,0754508834837076
"lasso";3;0,3;"sigmoid";0,641805349311257;0,646596848964691;0,637506067752838;0,637506041565974;0,693654266958424;0,52347251710309;0,596665770368379;-0,226721485876065;0,128414741721295
"lasso_tab1";3;0;"sigmoid";0,69665347147011;0,528795838356018;0,513412296772003;0,513412276462059;0,515393552134766;0,83722576079264;0,638022471910112;-0,0391856991982962;0,229791000043606
"lasso_tab1";3;0,3;"sigmoid";0,694795929878561;0,532219111919403;0,508337378501892;0,508337361043983;0,513194660043465;0,779900920028309;0,619043160752739;-0,189661997062905;0,369081870859679
"stepwise";3;0;"sigmoid";0,642621714605578;0,643777668476105;0,63678103685379;0,636781053649106;0,713543470730862;0,485963670677046;0,578164468144822;-0,132874633839429;0,126330968176313
"stepwise";3;0,3;"sigmoid";0,638427949602792;0,643173575401306;0,636056065559387;0,636056065732238;0,675436088075493;0,55720688841708;0,610651499482937;-0,0892736263496651;0,106150215441355
"stepwise_tab1";3;0;"sigmoid";0,694805390423424;0,486306875944138;0,487796038389206;0,487796036732721;NA;NA;NA;NA;0,0298742085551826
"stepwise_tab1";3;0,3;"sigmoid";0,693161741986604;0,486306875944138;0,487796038389206;0,487796036732721;NA;NA;NA;NA;0,0298742085551826
"torneio";3;0;"sigmoid";0,631667995349171;0,655457079410553;0,650193333625793;0,650193330111165;0,659847764034253;0,654399622552489;0,657112400805401;-0,0881253747952894;0,12658213008144
"torneio";3;0,3;"sigmoid";0,639879983943001;0,648610532283783;0,640647649765015;0,640647655872402;0,658720200752823;0,619249823071479;0,638375486381323;-0,109215016244703;0,182175696613461
"torneio_tab1";3;0;"sigmoid";0,695687363002541;0,501006841659546;0,487916857004166;0,487916868052199;0,500215053763441;0,274357159707478;0,354357099329677;-0,640672465301253;0,109633895732878
"torneio_tab1";3;0,3;"sigmoid";0,693918342691738;0,486306875944138;0,487796038389206;0,487796036732721;NA;NA;NA;NA;0,0298742085551826
"todas";3;0;"sigmoid";0,674496101779947;0,630487322807312;0,621314644813538;0,621314644755921;0,621562156215622;0,666430761972163;0,643214936247723;-0,0499184099504703;0,110205379276052
"todas";3;0,3;"sigmoid";0,693917849145689;0,486306875944138;0,487796038389206;0,487796036732721;NA;0;NA;NA;0,0298742085551826
