"Variables";"Hidden_layers";"Dropout";"Activation";"Loss";"Accuracy_in";"Accuracy_out";"Acc";"Prec";"Recall";"Fscore";"erro_I";"erro_II"
"todas";3;0;"sigmoid";0,6526220751424;0,632655143737793;0,627523243427277;0,627523268463677;0,610868796416362;0,644206862257583;0,627095056574091;-2,96791054628113;0,698049177101188
"todas";3;0,3;"sigmoid";0,641574501364461;0,644137799739838;0,634110987186432;0,634110963374834;0,643994211287988;0,553207359522626;0,595158486023806;-7,52204467606331;0,565256233791575
"todas_tab1";3;0;"sigmoid";0,70149248150374;0,515511691570282;0,508702993392944;0,508703009790886;0,496307237813885;0,710094480358031;0,584258170101775;-15,4480889027146;2,25195802146219
"todas_tab1";3;0,3;"sigmoid";0,691955555310982;0,520547926425934;0,510153532028198;0,5101535114227;0,497189717128904;0,670810542018896;0,571095941154681;-1,31507754016146;-0,598539627604485
"lasso";3;0;"sigmoid";0,667031870738607;0,629230439662933;0,623232185840607;0,623232201136226;0,621151271753681;0,576827449030333;0,598169395384814;-1,94755699647156;-0,215752509809404
"lasso";3;0,3;"sigmoid";0,64474331988946;0,645547926425934;0,638039410114288;0,638039405294331;0,650021901007446;0,553455992043759;0,597864768683274;-3,06512383688503;0,382204189425124
"lasso_tab1";3;0;"sigmoid";0,702223367087573;0,513597905635834;0,502115309238434;0,502115314879729;0,489683046160391;0,572352063649925;0,527800068783675;1,57079614542277;0,0109399505307576
"lasso_tab1";3;0,3;"sigmoid";0,691898916777195;0,522965371608734;0,508884310722351;0,508884322494863;0,49620651369356;0,666708105420189;0,568958200721409;-0,0595178098755745;-0,584596406236772
"stepwise";3;0;"sigmoid";0,645108340787409;0,641619682312012;0,635742783546448;0,635742777710625;0,625046497210167;0,626678269517653;0,625861319759141;-3,85735802579834;0,412138546833822
"stepwise";3;0,3;"sigmoid";0,647309338140125;0,636986315250397;0,633143961429596;0,633143962286958;0,640678449258837;0,558801591248135;0,596945551128818;-3,50508041350867;0,350136284946103
"stepwise_tab1";3;0;"sigmoid";0,691980582734312;0,523972630500793;0,515895068645477;0,515895080381965;0,502841858910063;0,373943311785181;0,428917724226437;2,76388378679491;-0,214638729286319
"stepwise_tab1";3;0,3;"sigmoid";0,69079934258163;0,520850121974945;0,51704341173172;0,517043394173818;0,503421562298257;0,484709099950274;0,493888149977833;-18,8421548256145;0,021683266702317
"torneio";3;0;"sigmoid";0,637088872264464;0,644943594932556;0,645231485366821;0,64523147588541;0,631090207428847;0,650546991546494;0,640670910871694;-7,6198623487203;0,880795574355984
"torneio";3;0,3;"sigmoid";0,64447226554829;0,640813887119293;0,633990108966827;0,633990088238849;0,665171153207046;0,497637991049229;0,569335798606173;-5,72480127844944;0,924391614069665
"torneio_tab1";3;0;"sigmoid";0,692201184762457;0,522360980510712;0,51704341173172;0,517043394173818;0,506323073252207;0,263799104922924;0,346873722926032;-0,22172106098396;-0,658598191607698
"torneio_tab1";3;0,3;"sigmoid";0,692167631936854;0,51621675491333;0,515290677547455;0,515290704702043;0,504583651642475;0,164221780208851;0,247795910710936;-0,399161595454061;-0,657386160220243
"todas";3;0;"sigmoid";0,663301980691421;0,630640625953674;0,618155419826508;0,618155445424876;0,62275960170697;0,54425658876181;0,580867719251692;-2,26102240105993;0,891466441523736
"todas";3;0,3;"sigmoid";0,644999898645014;0,639705896377563;0,625831007957458;0,625831016559894;0,656213117518125;0,483838886126305;0,556994633273703;-12,5497807983387;0,496312796756543
"todas_tab1";3;0;"sigmoid";0,69594735492894;0,517626941204071;0,515532433986664;0,515532454974012;0,501909438079651;0,457483838886126;0,478668054110302;-24,3631797693788;1,2552987191986
"todas_tab1";3;0,3;"sigmoid";0,691499945187416;0,508460938930511;0,513840198516846;0,513840203070228;NA;NA;NA;NA;-0,747450369093231
"lasso";3;0;"sigmoid";0,6616961041349;0,63305801153183;0,619424641132355;0,619424634352714;0,633094621362182;0,516534062655395;0,568905319367427;-2,68301072574132;0,820560305183232
"lasso";3;0,3;"sigmoid";0,6444815373487;0,644439995288849;0,637132823467255;0,637132841774447;0,640961857379768;0,576578816509199;0,607068062827225;-3,12151027919684;0,431297018939091
"lasso_tab1";3;0;"sigmoid";0,69541058459075;0,513497173786163;0,511483132839203;0,51148313791853;0,496835956514684;0,380656389855793;0,431055113676357;-3,94637034742075;-0,475641243343827
"lasso_tab1";3;0,3;"sigmoid";0,691653353465046;0,508460938930511;0,513840198516846;0,513840203070228;NA;NA;NA;NA;-0,747450369093231
"stepwise";3;0;"sigmoid";0,646549246100234;0,642123281955719;0,63634717464447;0,636347153390548;0,615105053946621;0,673296867230234;0,642886818208796;-2,89123522827923;0,040758204773227
"stepwise";3;0,3;"sigmoid";0,651046131904477;0,626611590385437;0,62667715549469;0,626677142511785;0,655298619198137;0,489681750372949;0,56051227321238;-3,59948379670632;0,297068968611393
"stepwise_tab1";3;0;"sigmoid";0,692375622694227;0,520850121974945;0,514565467834473;0,514565453886136;0,501146788990826;0,325957235206365;0,394998493522145;-1,96845230778414;0,0823501169481902
"stepwise_tab1";3;0,3;"sigmoid";0,690849986687892;0,514403700828552;0,515109419822693;0,515109391998066;0,500911221036188;0,717553455992044;0,589972913578985;-30,4689760165787;-0,0169341942654409
"torneio";3;0;"sigmoid";0,643545236175991;0,642123281955719;0,638462483882904;0,638462468270277;0,6270017245627;0,63276976628543;0,629872540527162;-4,4950722219506;1,18891184036899
"torneio";3;0,3;"sigmoid";0,645229374974782;0,637993574142456;0,633506596088409;0,633506587694911;0,652401477832512;0,526852312282447;0,582943603851444;-6,36449308873229;1,35620092563868
"torneio_tab1";3;0;"sigmoid";0,693498941981114;0,517224013805389;0,517406046390533;0,517406019581772;0,509040760036776;0,206489308801591;0,293800300698682;-2,15590444358283;-0,596517889829118
"torneio_tab1";3;0,3;"sigmoid";0,69213299481537;0,508460938930511;0,513840198516846;0,513840203070228;NA;NA;NA;NA;-0,747450369093231
"todas";3;0;"sigmoid";0,657080946285059;0,635173261165619;0,622083902359009;0,622083887344373;0,626931254429483;0,54985082048732;0,585866613683025;-5,98805035133224;0,851753034924691
"todas";3;0,3;"sigmoid";0,644888946562051;0,639605164527893;0,6332648396492;0,633264837422942;0,64322992171644;0,551591248135256;0,593896399411056;-4,74577478613752;0,951862340049826
"todas_tab1";3;0;"sigmoid";0,695521573295303;0,516317486763;0,513114929199219;0,513114952254321;0,499487179487179;0,726504226752859;0,591977309562399;-0,567959474696356;0,0694142716948997
"todas_tab1";3;0,3;"sigmoid";0,692773454252414;0,508460938930511;0,513840198516846;0,513840203070228;NA;0;NA;NA;-0,747450369093231
"lasso";3;0;"sigmoid";0,657263909143591;0,635273993015289;0,625649690628052;0,625649703855917;0,623729266987694;0,579686723023371;0,60090206185567;-2,07187907156143;-0,242245517032819
"lasso";3;0,3;"sigmoid";0,689503303580513;0,535455286502838;0,537410855293274;0,537410854587211;0,520900321543408;0,604177026355047;0,559456659376079;-3,66954798962089;0,0520958167456411
"lasso_tab1";3;0;"sigmoid";0,698109252737005;0,520648658275604;0,511241376399994;0,511241387646561;0,497795550087153;0,603555445052213;0,5455975726246;-7,11218895343789;0,557912173780199
"lasso_tab1";3;0,3;"sigmoid";0,692764332378615;0,508460938930511;0,513840198516846;0,513840203070228;NA;0;NA;NA;-0,747450369093231
"stepwise";3;0;"sigmoid";0,64587707499286;0,644641399383545;0,637676775455475;0,637676779886377;0,634044223472458;0,602436598707111;0,617836425065341;-3,73137763620738;0,718957701108515
"stepwise";3;0,3;"sigmoid";0,692769322907724;0,508460938930511;0,513840198516846;0,513840203070228;NA;0;NA;NA;-0,747450369093231
"stepwise_tab1";3;0;"sigmoid";0,691689606633942;0,520648658275604;0,519158720970154;0,519158709053548;0,504451639012546;0,619840875186474;0,556224899598393;-8,45014675007839;NA
"stepwise_tab1";3;0,3;"sigmoid";0,692767682285014;0,508460938930511;0,513840198516846;0,513840203070228;NA;0;NA;NA;-0,747450369093231
"torneio";3;0;"sigmoid";0,64334818226934;0,645950853824615;0,639066815376282;0,639066843950199;0,642034548944338;0,582173048234709;0,610640239926979;-3,48130476663259;0,296632476170991
"torneio";3;0,3;"sigmoid";0,692773914345804;0,508460938930511;0,513840198516846;0,513840203070228;NA;0;NA;NA;-0,747450369093231
"torneio_tab1";3;0;"sigmoid";0,691060111764177;0,516015291213989;0,518735647201538;0,518735646077602;0,507718696397942;0,331178518150174;0,400872771048078;-0,183637561019385;-0,50481451302819
"torneio_tab1";3;0,3;"sigmoid";0,692766694827767;0,508460938930511;0,513840198516846;0,513840203070228;NA;0;NA;NA;-0,747450369093231
