"Variables";"Hidden_layers";"Dropout";"Activation";"Loss";"Accuracy_in";"Accuracy_out";"Acc";"Prec";"Recall";"Fscore";"erro_I";"erro_II"
"todas";3;0;"sigmoid";0,638944783069645;0,64506608247757;0,646888911724091;0,64688890294558;0,658210062058468;0,678522571819425;0,668211986131748;0,118767742922489;0,289076198083342
"todas";3;0,3;"sigmoid";0,62974047649014;0,65100508928299;0,652877032756805;0,652877053155376;0,672533618456224;0,658002735978112;0,665188830814911;-0,0132748408015662;0,395536768297552
"todas_tab1";3;0;"sigmoid";0,696313231251564;0,535879969596863;0,533135116100311;0,533135133995403;0,553567196018014;0,56381266596926;0,558642959655557;0,0755360006170404;0,331415075233756
"todas_tab1";3;0,3;"sigmoid";0,694744251256077;0,505974113941193;0,503616094589233;0,503616083665423;0,523537854323646;0,587068479922749;0,553486078446248;0,10616552624501;0,0987465072780705
"lasso";3;0;"sigmoid";0,635566197829472;0,646788001060486;0,647732317447662;0,647732304383579;0,657722538428776;0,683471473404683;0,670349835243977;0,106690685745354;0,313949596743777
"lasso";3;0,3;"sigmoid";0,629156523124416;0,651918768882751;0,654289722442627;0,654289750564025;0,666732376596751;0,680413615514605;0,673503524632602;-0,0052156508371283;0,420722075988222
"lasso_tab1";3;0;"sigmoid";0,696904475230416;0,5190469622612;0,512893497943878;0,512893499483417;0,526547063458391;0,699082642632977;0,600670676899675;0,0909404913713182;0,326863407464283
"lasso_tab1";3;0,3;"sigmoid";0,693374003992162;0,517641246318817;0,520020246505737;0,520020241634512;0,526854088502852;0,824897400820793;0,643018441851713;0,143964753874916;0,559538384420522
"stepwise";3;0;"sigmoid";0,631272393539066;0,654097557067871;0,647268414497375;0,647268433592679;0,668365866799287;0,648869397280116;0,658473347896209;0,139376088669391;0,284740722510768
"stepwise";3;0,3;"sigmoid";0,631096182303192;0,649247944355011;0,649672150611877;0,649672127690978;0,671695911307465;0,648426812585499;0,659856285954102;-0,0923431249557725;0,45131770317353
"stepwise_tab1";3;0;"sigmoid";0,694679308513724;0,521401464939117;0,512387454509735;0,512387458620617;0,526637069922309;0,687293795767281;0,596334438820038;0,170156340497224;0,451926276675405
"stepwise_tab1";3;0,3;"sigmoid";0,692605771931364;0,524810254573822;0,51219767332077;0,512197693297067;0,527496081128635;0,663434457230225;0,587706948478962;-0,161544818360853;0,613669429493928
"torneio";3;0;"sigmoid";0,629034687794496;0,648755967617035;0,651169180870056;0,651169165243427;0,672178020885132;0,652651484670476;0,662270852896746;0,0987465641729913;0,298599142878526
"torneio";3;0,3;"sigmoid";0,630698437350352;0,648615419864655;0,651211321353912;0,651211335315327;0,661122741722881;0,686126981572383;0,673392828936977;-0,0389833447831112;0,487942374703887
"torneio_tab1";3;0;"sigmoid";0,695978372108377;0,51911723613739;0,509477734565735;0,509477723659519;0,525691571871768;0,654502293393418;0,583067493458547;0,0099199381793833;0,401553849289214
"torneio_tab1";3;0,3;"sigmoid";0,693205086312761;0,52122575044632;0,51335734128952;0,513357370274316;0,525161692953591;0,744870041039672;0,616011712641001;0,0442524770378261;0,427838988941375
